name           sym            value&addr     row            
var            2              --             1              
x              30             0              1              
,              26             --             1              
y              30             1              1              
,              26             --             1              
z              30             2              1              
,              26             --             1              
q              30             3              1              
,              26             --             1              
r              30             4              1              
,              26             --             1              
n              30             5              1              
,              26             --             1              
f              30             6              1              
;              25             --             1              
procedure      3              --             3              
multiply       30             7              3              
;              25             --             3              
var            2              --             4              
a              30             8              4              
,              26             --             4              
b              30             9              4              
;              25             --             4              
begin          4              --             5              
a              30             8              6              
:=             24             --             6              
x              30             0              6              
;              25             --             6              
b              30             9              7              
:=             24             --             7              
y              30             1              7              
;              25             --             7              
z              30             2              8              
:=             24             --             8              
x              30             0              8              
*              16             --             8              
y              30             1              8              
end            5              --             9              
;              25             --             9              
procedure      3              --             11             
divide         30             10             11             
;              25             --             11             
var            2              --             12             
w              30             11             12             
;              25             --             12             
begin          4              --             13             
r              30             4              14             
:=             24             --             14             
x              30             0              14             
;              25             --             14             
q              30             3              15             
:=             24             --             15             
0              29             0              15             
;              25             --             15             
w              30             11             16             
:=             24             --             16             
y              30             1              16             
;              25             --             16             
while          10             --             17             
w              30             11             17             
<=             21             --             17             
r              30             4              17             
do             11             --             17             
w              30             11             17             
:=             24             --             17             
2              29             1              17             
*              16             --             17             
w              30             11             17             
;              25             --             17             
while          10             --             18             
w              30             11             18             
>              22             --             18             
y              30             1              18             
do             11             --             18             
begin          4              --             19             
q              30             3              20             
:=             24             --             20             
2              29             1              20             
*              16             --             20             
q              30             3              20             
;              25             --             20             
w              30             11             21             
:=             24             --             21             
w              30             11             21             
/              17             --             21             
2              29             1              21             
;              25             --             21             
if             7              --             22             
w              30             11             22             
<=             21             --             22             
r              30             4              22             
then           8              --             22             
begin          4              --             23             
r              30             4              24             
:=             24             --             24             
r              30             4              24             
-              15             --             24             
w              30             11             24             
;              25             --             24             
q              30             3              25             
:=             24             --             25             
q              30             3              25             
+              14             --             25             
1              29             2              25             
end            5              --             26             
end            5              --             27             
end            5              --             28             
;              25             --             28             
procedure      3              --             30             
gcd            30             12             30             
;              25             --             30             
var            2              --             31             
g              30             13             31             
;              25             --             31             
begin          4              --             32             
f              30             6              33             
:=             24             --             33             
x              30             0              33             
;              25             --             33             
g              30             13             34             
:=             24             --             34             
y              30             1              34             
;              25             --             34             
while          10             --             35             
f              30             6              35             
<              20             --             35             
>              22             --             35             
g              30             13             35             
do             11             --             35             
begin          4              --             36             
if             7              --             37             
f              30             6              37             
<              20             --             37             
g              30             13             37             
then           8              --             37             
g              30             13             37             
:=             24             --             37             
g              30             13             37             
-              15             --             37             
f              30             6              37             
;              25             --             37             
if             7              --             38             
g              30             13             38             
<              20             --             38             
f              30             6              38             
then           8              --             38             
f              30             6              38             
:=             24             --             38             
f              30             6              38             
-              15             --             38             
g              30             13             38             
end            5              --             39             
;              25             --             39             
z              30             2              40             
:=             24             --             40             
f              30             6              40             
end            5              --             41             
;              25             --             41             
procedure      3              --             43             
fact           30             14             43             
;              25             --             43             
begin          4              --             44             
if             7              --             45             
n              30             5              45             
>              22             --             45             
1              29             2              45             
then           8              --             45             
begin          4              --             46             
f              30             6              47             
:=             24             --             47             
n              30             5              47             
*              16             --             47             
f              30             6              47             
;              25             --             47             
n              30             5              48             
:=             24             --             48             
n              30             5              48             
-              15             --             48             
1              29             2              48             
;              25             --             48             
call           9              --             49             
fact           30             14             49             
end            5              --             50             
end            5              --             51             
;              25             --             51             
begin          4              --             53             
read           12             --             54             
(              28             --             54             
x              30             0              54             
)              29             --             54             
;              25             --             54             
read           12             --             54             
(              28             --             54             
y              30             1              54             
)              29             --             54             
;              25             --             54             
call           9              --             54             
multiply       30             7              54             
;              25             --             54             
write          13             --             54             
(              28             --             54             
z              30             2              54             
)              29             --             54             
;              25             --             54             
read           12             --             55             
(              28             --             55             
x              30             0              55             
)              29             --             55             
;              25             --             55             
read           12             --             55             
(              28             --             55             
y              30             1              55             
)              29             --             55             
;              25             --             55             
call           9              --             55             
divide         30             10             55             
;              25             --             55             
write          13             --             55             
(              28             --             55             
q              30             3              55             
)              29             --             55             
;              25             --             55             
write          13             --             55             
(              28             --             55             
r              30             4              55             
)              29             --             55             
;              25             --             55             
read           12             --             56             
(              28             --             56             
x              30             0              56             
)              29             --             56             
;              25             --             56             
read           12             --             56             
(              28             --             56             
y              30             1              56             
)              29             --             56             
;              25             --             56             
call           9              --             56             
gcd            30             12             56             
;              25             --             56             
write          13             --             56             
(              28             --             56             
z              30             2              56             
)              29             --             56             
;              25             --             56             
read           12             --             57             
(              28             --             57             
n              30             5              57             
)              29             --             57             
;              25             --             57             
f              30             6              57             
:=             24             --             57             
1              29             2              57             
;              25             --             57             
call           9              --             57             
fact           30             14             57             
;              25             --             57             
write          13             --             57             
(              28             --             57             
f              30             6              57             
)              29             --             57             
end            5              --             58             
.              27             --             58             
